zcta,total_pop,pct_white_nh,pct_black_nh,pct_hispanic,pct_asian_nh,pct_aian_nh,pct_nhpi_nh,median_hh_income,pct_below_poverty,pct_uninsured_adults_19_64,median_age,is_majority_minority,area_sq_km,low_spatial_precision,pw_centroid_lat,pw_centroid_lon,sas_score,sas_score_aggressive,sas_score_flat,best_facility_id,best_facility_name,best_facility_type,socioeconomic_vulnerability_flag,clinical_risk_flag,double_jeopardy_flag,best_facility_drive_miles,nearest_csc_name,nearest_csc_drive_mins,nearest_csc_drive_miles
90001,57652,0.6469853604384931,6.934711718587386,91.30992853673767,0.5012835634496635,0.041629084853951295,0.02254908762922362,57698.0,21.206320478908534,25.3995,31.0,1,8.495424170593994,0,33.972532433742096,-118.24939694558806,85,75.0,75.0,EMS_SAINT_FRANCIS_LYN,SAINT FRANCIS MEDICAL CENTER,CSC,0,0,0,6.1,SAINT FRANCIS MEDICAL CENTER,19.8,6.1
90002,53108,0.3765910973864578,15.244407622203813,82.40942984107855,0.886872034345108,0.24478421330119757,0.03954206522557807,54221.0,24.14342025469982,21.7323,30.2,1,7.750662955313712,0,33.949578473333965,-118.24711011133776,85,75.0,75.0,EMS_SAINT_FRANCIS_LYN,SAINT FRANCIS MEDICAL CENTER,CSC,0,0,0,5.3,SAINT FRANCIS MEDICAL CENTER,16.9,5.3
90003,75024,0.47184900831733845,16.156163361057796,81.5459053103007,0.3878758797184901,0.11862870548091278,0.0,51275.0,27.063850370848115,23.797,29.5,1,9.389884046474831,0,33.96430820522785,-118.27347699752896,85,75.0,75.0,EMS_DH_GLENDALE_MEM,DIGNITY HEALTH GLENDALE MEMORIAL HOSPITAL,CSC,0,0,0,17.0,SAINT FRANCIS MEDICAL CENTER,19.1,9.7
90004,58833,20.58028657386161,4.1966243434807,46.589499090646406,24.538949229174104,0.057790695697992625,0.11558139139598525,58420.0,19.336931643494005,20.5814,35.9,1,7.9014655585800835,0,34.07614055181019,-118.30313517060503,85,100.0,100.0,EMS_DH_GLENDALE_MEM,DIGNITY HEALTH GLENDALE MEMORIAL HOSPITAL,CSC,0,0,0,6.4,DIGNITY HEALTH GLENDALE MEMORIAL HOSPITAL,22.7,6.4
90005,37754,10.115484451978599,4.974307358160725,49.27424908618954,32.452190496371244,0.2728187741696244,0.03708216347936643,49226.0,23.80646885859396,28.3433,35.3,1,3.0557547447800038,0,34.058873135554244,-118.30212750213762,85,100.0,100.0,EMS_DH_GLENDALE_MEM,DIGNITY HEALTH GLENDALE MEMORIAL HOSPITAL,CSC,0,0,0,7.5,DIGNITY HEALTH GLENDALE MEMORIAL HOSPITAL,28.0,7.5
90006,56628,5.140566504202868,2.8590096771914952,72.45532245532246,18.077629441265806,0.35318217136398955,0.18895246167973442,47599.0,23.104634906979246,33.9577,35.7,1,5.008244590353814,0,34.04922165136963,-118.29264972297315,85,50.0,50.0,EMS_DH_GLENDALE_MEM,DIGNITY HEALTH GLENDALE MEMORIAL HOSPITAL,CSC,0,0,0,12.0,DIGNITY HEALTH GLENDALE MEMORIAL HOSPITAL,24.2,12.0
90007,41004,15.871622280753098,8.072383182128572,53.91912984099112,18.476246219880988,0.07072480733586967,0.07316359379572725,36326.0,37.38384560400286,15.6363,25.2,1,6.294012473582881,0,34.02912946972696,-118.28818732479493,85,50.0,50.0,EMS_DH_GLENDALE_MEM,DIGNITY HEALTH GLENDALE MEMORIAL HOSPITAL,CSC,0,0,0,12.5,DIGNITY HEALTH GLENDALE MEMORIAL HOSPITAL,24.1,12.5
90008,33076,5.644576127705889,62.17801427016568,26.30910630064095,2.950780021768049,0.16628371024307656,0.045350102793566334,57880.0,18.325688770085964,9.7195,41.6,1,7.562330767918633,0,34.0112308536606,-118.34122652091048,85,100.0,100.0,050625,CEDARS-SINAI MEDICAL CENTER,CSC,0,0,0,6.9,CEDARS-SINAI MEDICAL CENTER,23.6,6.9
90010,4185,16.726403823178014,4.970131421744325,7.861409796893668,66.30824372759857,0.0,1.6487455197132617,92454.0,9.84468339307049,13.9844,33.9,1,1.0113270586321208,0,34.06192976387037,-118.3023272134815,85,100.0,100.0,EMS_DH_GLENDALE_MEM,DIGNITY HEALTH GLENDALE MEMORIAL HOSPITAL,CSC,0,0,0,7.4,DIGNITY HEALTH GLENDALE MEMORIAL HOSPITAL,27.8,7.4
90011,106042,0.7553610833443353,5.4299239923803775,92.104071971483,0.613907696950265,0.06223949001339092,0.07921389638067936,51819.0,27.211343686698175,26.243,30.6,1,11.108908890376796,0,34.007070116560804,-118.25875227747684,85,50.0,50.0,EMS_DH_GLENDALE_MEM,DIGNITY HEALTH GLENDALE MEMORIAL HOSPITAL,CSC,0,0,0,13.8,SAINT FRANCIS MEDICAL CENTER,25.3,13.3
90012,38430,18.63127764767109,12.857142857142856,27.5175644028103,35.91465001301067,0.3460837887067395,0.052042674993494666,58444.0,24.475811977525012,12.4088,35.2,1,9.550763526763452,0,34.059422737154016,-118.24095119696909,85,50.0,50.0,EMS_DH_GLENDALE_MEM,DIGNITY HEALTH GLENDALE MEMORIAL HOSPITAL,CSC,0,0,0,8.5,DIGNITY HEALTH GLENDALE MEMORIAL HOSPITAL,15.7,8.5
90013,14587,27.57935147734284,27.202303420854186,23.939123877425107,13.971344347706863,0.41818057174196205,0.8843490779461165,24853.0,45.787772505329755,12.886,43.3,1,1.85379740596941,0,34.04540995106807,-118.24400891890436,85,50.0,50.0,EMS_DH_GLENDALE_MEM,DIGNITY HEALTH GLENDALE MEMORIAL HOSPITAL,CSC,0,0,0,10.4,SAINT FRANCIS MEDICAL CENTER,20.9,12.3
90014,9273,27.294295265825514,19.659225709047774,25.57963981451526,23.444408497789283,0.204895934433301,0.0,26550.0,35.635538261997404,12.7184,41.2,1,0.7753936346451497,0,34.043794585433325,-118.25224888758378,85,50.0,50.0,EMS_DH_GLENDALE_MEM,DIGNITY HEALTH GLENDALE MEMORIAL HOSPITAL,CSC,0,0,0,10.7,DIGNITY HEALTH GLENDALE MEMORIAL HOSPITAL,22.6,10.7
90015,25554,14.173906237770995,8.33528997417234,52.43797448540346,20.337324880644907,0.5791656883462472,0.0,61959.0,25.53199873896595,20.7006,32.0,1,4.385536354241351,0,34.04165771123556,-118.26707712722511,85,50.0,50.0,EMS_DH_GLENDALE_MEM,DIGNITY HEALTH GLENDALE MEMORIAL HOSPITAL,CSC,0,0,0,10.7,DIGNITY HEALTH GLENDALE MEMORIAL HOSPITAL,20.2,10.7
90016,47309,10.376461138472596,26.698936777357375,54.5688980954998,4.362806231372466,0.021137627089982878,0.07186793210594178,63090.0,15.327554415785347,17.4143,35.0,1,9.332579598940827,0,34.0296924904003,-118.353013881652,85,100.0,100.0,050625,CEDARS-SINAI MEDICAL CENTER,CSC,0,0,0,5.1,CEDARS-SINAI MEDICAL CENTER,18.1,5.1
90017,28754,11.288864158030187,12.41914168463518,57.18856506920776,17.281073937539123,0.0,0.0,46626.0,35.68539952586808,24.8716,32.7,1,1.8311064583642644,0,34.05386045776881,-118.26534654324605,85,50.0,50.0,EMS_DH_GLENDALE_MEM,DIGNITY HEALTH GLENDALE MEMORIAL HOSPITAL,CSC,0,0,0,10.2,DIGNITY HEALTH GLENDALE MEMORIAL HOSPITAL,19.7,10.2
90018,49898,7.850014028618381,23.45985811054551,58.68772295482785,6.070383582508318,0.04809812016513688,0.15431480219648083,58987.0,22.07078925956062,18.6584,35.9,1,7.7719312054658465,0,34.02877211262478,-118.31619905535382,85,50.0,50.0,EMS_DH_GLENDALE_MEM,DIGNITY HEALTH GLENDALE MEMORIAL HOSPITAL,CSC,0,0,0,14.1,SAINT FRANCIS MEDICAL CENTER,25.4,16.6
90019,59410,17.503787241205185,17.62161252314425,43.50614374684397,17.067833698030636,0.1178252819390675,0.13129102844638948,65972.0,16.79270993016522,20.3391,38.8,1,10.03268140467994,0,34.048063144708244,-118.33611616131896,85,100.0,100.0,050625,CEDARS-SINAI MEDICAL CENTER,CSC,0,0,0,3.5,CEDARS-SINAI MEDICAL CENTER,16.1,3.5
90020,38400,11.5625,6.666666666666667,33.65885416666667,45.221354166666664,0.2994791666666667,0.06510416666666666,55321.0,18.018159048215406,20.0796,36.8,1,2.8798223551896163,0,34.066388901806484,-118.30222542171138,85,100.0,100.0,EMS_DH_GLENDALE_MEM,DIGNITY HEALTH GLENDALE MEMORIAL HOSPITAL,CSC,0,0,0,7.0,DIGNITY HEALTH GLENDALE MEMORIAL HOSPITAL,25.6,7.0
90021,2781,19.66918374685365,20.783890686803307,48.04027328299173,6.68824163969795,0.8989572096368214,0.0,29659.0,40.912408759124084,14.433,40.0,1,5.1495753944551845,0,34.03319901068953,-118.24283008657554,85,50.0,50.0,EMS_DH_GLENDALE_MEM,DIGNITY HEALTH GLENDALE MEMORIAL HOSPITAL,CSC,0,0,0,12.4,SAINT FRANCIS MEDICAL CENTER,20.7,11.8
